"time","S","E","I","R"
0.925,0.39372044712280707,0.0022862171568017765,0.004193052448969914,0.5998002832714208
0.93,0.39612619821471806,0.0023227461588266633,0.004242265599562394,0.5973087900268924
0.935,0.3985079884780004,0.002361087691228744,0.00429458598842091,0.5948363378423495
0.94,0.4008653884303928,0.002401295022465322,0.004350080959216134,0.5923832355879253
0.945,0.4031979534530059,0.0024434242293634076,0.004408822963806924,0.5899497993538233
0.95,0.405505223032035,0.0024875342596346775,0.004470889628242957,0.5875363530800869
0.955,0.40778671998554716,0.002533686996201177,0.004536363826462912,0.5851432291917883
0.96,0.4100419496752337,0.0025819473229959176,0.0046053337611562505,0.5827707692406137
0.965,0.41227039920314756,0.002632383191867565,0.004677893051238463,0.580419324553746
0.97,0.4144715365935839,0.0026850656901791533,0.004754140825364674,0.5780892568908719
0.975,0.4166448099604194,0.002740069108646955,0.004834181820874604,0.5757809391100586
0.98,0.41878964666039503,0.0027974710089169997,0.004918126487522684,0.5734947558431649
0.985,0.4209054524330149,0.002857352290322963,0.005006091095300346,0.5712311041813614
0.99,0.42299161052794315,0.0029197972552099803,0.005098197845602854,0.5689903943712435
0.995,0.42504748082100574,0.00298489367214404,0.005194574984930014,0.5667730505219197
1.0,0.4270723989201569,0.003052732836255695,0.0052953569202384325,0.5645795113233485
1.005,0.4290656752630428,0.003123409625889627,0.005400684334982144,0.562410230776085
1.01,0.4310265942080965,0.003197022554647759,0.005510704304787977,0.5602656789324673
1.015,0.4329544131214276,0.0032736738178229573,0.005625570411611557,0.5581463426491374
1.02,0.4348483614621263,0.003353469332122556,0.005745442855108771,0.556052726350642
1.025,0.43670763986899663,0.0034365187674758498,0.005870488559835483,0.5539853528036917
1.03,0.43853141925215433,0.003522935569607114,0.0060008812767547185,0.5519447639014835
1.035,0.440318839893389,0.0036128369719355545,0.006136801677385071,0.5499315214572901
1.04,0.44206901055968706,0.003706343995235796,0.006278437438766191,0.5479462080063107
1.045,0.4437810076348525,0.003803581433357186,0.006425983317246677,0.5459894276145433
1.05,0.44545387427474115,0.0039046778231574325,0.006579641208916002,0.544061806693185
1.055,0.44708661959224855,0.00400976539665623,0.006739620194305242,0.5421639948167896
1.06,0.4486782178788594,0.004118980013258015,0.006906136564771037,0.5402966655431111
1.065,0.4502276078702786,0.004232461069730391,0.00707941382775352,0.538460517232237
1.07,0.4517336920644235,0.004350351385456967,0.007259682687862042,0.536656273862257
1.075,0.453195336100863,0.004472797060311391,0.007447181000492716,0.5348846858383324
1.08,0.45461136821163817,0.004599947302324579,0.007642153694419801,0.5331465307916169
1.085,0.4559805787542963,0.004731954222141197,0.007844852659529456,0.5314426143640325
1.09,0.45730171983890766,0.004868972591086353,0.008055536595580788,0.5297737709744247
1.095,0.45857350506181277,0.005011159559491565,0.008274470817586742,0.5281408645611084
1.1,0.45979460935986277,0.005158674331763329,0.008501927013108434,0.5265447892952649
1.105,0.46096366899996044,0.0053116777945211345,0.008738182946453246,0.5249864702590646
1.11,0.46207928171977997,0.005470332093988711,0.008983522104462544,0.5234668640817682
1.115,0.46314000703662994,0.0056348001586967586,0.009238233278272822,0.5219869595264
1.12,0.464144366742517,0.005805245163452683,0.009502610075138685,0.5205477780188911
1.125,0.4650908456045565,0.0059818299304585845,0.009776950354122422,0.519150374110862
1.13,0.4659778922909439,0.006164716263419227,0.010061555579188952,0.5177958358664474
1.135,0.4668039205437361,0.006354064210484283,0.010356730083003304,0.5164852851627758
1.14,0.46756731062066814,0.006550031251921439,0.010662780234518415,0.5152198778928915
1.145,0.46826641102913535,0.006752771408527759,0.010980013503272618,0.5140008040590638
1.15,0.46889954057627153,0.006962434266965221,0.011308737413198622,0.5128292877435642
1.155,0.469464990759727,0.007179163918462659,0.01164925837869021,0.5117065869431198
1.16,0.46996102852426286,0.007403097807671034,0.01200188041569137,0.5106339932523744
1.165,0.47038589940959835,0.007634365488903203,0.012366903720678607,0.5096128313808195
1.17,0.47073783111503437,0.007873087287544645,0.012744623110615267,0.5086444584868054
1.175,0.4710150375061937,0.008119372865099698,0.013135326317282493,0.5077302633114238
1.18,0.47121572308871795,0.00837331968715045,0.013539292129851659,0.5068716650942796
1.185,0.4713380879729,0.008635011394463864,0.013956788380175195,0.5060701122524606
1.19,0.4713803333519598,0.00890451607859785,0.014388069766055077,0.505327080803387
1.195,0.47134066751493797,0.00918188446463834,0.014833375508719306,0.5046440725117041
1.2,0.47121731241294057,0.009467148005155229,0.015292926841915406,0.5040226127399885
1.205,0.4710085107946603,0.009760316891101349,0.01576692433143463,0.5034642479828034
1.21,0.4707125339236849,0.010061377987198626,0.01625554502552876,0.5029705430635875
1.215,0.47032768988602597,0.010370292701359482,0.0167589394385893,0.502543077974025
1.22,0.4698523324915241,0.010686994799874802,0.017277228372640688,0.5021834443359602
1.225,0.4692848707672719,0.011011388182453749,0.017810499583665592,0.5018932414666085
1.23,0.4686237790349145,0.01134334463371016,0.018358804302539288,0.5016740720288358
1.235,0.46786760755662227,0.011682701570334146,0.018922153623403465,0.5015275372496399
1.24,0.4670149937266775,0.012029259805936976,0.01950051477565453,0.5014552316917309
1.245,0.4660646737769856,0.012382781358375719,0.02009380729934699,0.5014587375652916
1.25,0.46501549495544525,0.012742987327205881,0.020701899147700088,0.5015396185696487
1.255,0.46386642812603524,0.013109555871720857,0.02132460274451748,0.5016994132577264
1.26,0.4626165807287822,0.013482120322752318,0.021961671028646778,0.5019396279198186
1.265,0.46126521002655513,0.013860267463952169,0.022612793522067624,0.502261728987425
1.27,0.45981173655402413,0.014243536020571783,0.023277592462741085,0.502667134962663
1.275,0.4582557576722823,0.014631415395707031,0.02395561904790272,0.5031572078841079
1.28,0.45659706112074605,0.015023344695489915,0.02464634983794718,0.5037332443458168
1.285,0.4548356384462474,0.015418712085676098,0.025349183375329237,0.5043964660927471
1.29,0.4529716981779616,0.015816854522395514,0.02606343707687786,0.5051480102227649
1.295,0.4510056786062493,0.01621705789939388,0.026788344461455987,0.5059889190329008
1.3,0.44893826001394727,0.016618557652792618,0.027523052777858863,0.5069201295554012
1.305,0.4467703762004291,0.017020539862137286,0.02826662110007816,0.5079424628373554
1.31,0.44450322513221774,0.017422142883205444,0.02901801895841306,0.5090566130261637
1.315,0.4421382785494081,0.017822459543636416,0.029776125575226003,0.5102631363317294
1.32,0.43967729035497877,0.01822053992688179,0.030539729773265734,0.5115624399448736
1.325,0.437122303614566,0.018615394763238036,0.03130753062226815,0.5129547709999277
1.33,0.4344756559977253,0.019005999438824906,0.03207813888586399,0.5144402056775856
1.335,0.4317399834983693,0.01939129862436586,0.03285007932556127,0.5160186385517034
1.34,0.4289182222821432,0.01977021151560017,0.03362179391164553,0.5176897722906109
1.345,0.4260136085221038,0.02014163766624558,0.034391645982204545,0.5194531078294459
1.35,0.4230296761012559,0.020504463382813705,0.03515792538112774,0.5213079351348024
1.355,0.4199702520812252,0.020857568638481663,0.03591885459389555,0.5232533246863974
1.36,0.41683944986045823,0.021199834450907565,0.03667259588635309,0.525288119802281
1.365,0.4136416599725938,0.02153015065664694,0.03741725943660592,0.5274109299341532
1.37,0.41038153850566805,0.02184742400301536,0.03815091243389383,0.5296201250574226
1.375,0.40706399315513836,0.022150586467203758,0.03887158910105959,0.5319138312765982
1.38,0.40369416695774746,0.022438603702552226,0.03957730157936076,0.5342899277603395
1.385,0.4002774197883412,0.022710483503487904,0.04026605159625319,0.5367460451119176
1.39,0.3968193077371412,0.02296528417407866,0.040935842818827915,0.5392795652699521
1.395,0.39332556051985834,0.023202122680759853,0.04158469377826961,0.541887623021112
1.4,0.3898020571065686,0.023420182467824152,0.04221065123450336,0.5445671091911037
1.405,0.3862547997866096,0.023618720814929,0.042811803835597344,0.547314675562864
1.41,0.3826898869150681,0.023797075619305216,0.04338629591396757,0.550126741551659
1.415,0.3791134846109359,0.0239546714915901,0.04393234125143921,0.5529995026460346
1.42,0.3755317976970166,0.024091025063215418,0.04444823663815856,0.5559289406016092
1.425,0.3719510401865847,0.024205749414915555,0.04493237504656089,0.5589108353519388
1.43,0.36837740563116844,0.024298557549950073,0.045383258241340714,0.5619407785775407
1.435,0.3648170376473519,0.02436926485173579,0.04579950864980581,0.5650141888511064
1.44,0.3612760009380267,0.024417790483353845,0.04617988032418368,0.5681263282544357
1.445,0.3577602531151092,0.024444157705369007,0.04652326883833446,0.5712723203411872
1.45,0.35427561761658155,0.024448493108054786,0.046828719975738654,0.5744471692996249
1.455,0.3508277579911925,0.02443102477391224,0.047095437083289386,0.5776457801516058
1.46,0.34742215379979036,0.02439207940574922,0.04732278698593912,0.5808629798085212
1.465,0.3440640783537244,0.024332078474009738,0.047510304380149165,0.5840935387921166
1.47,0.34075857847879887,0.02425153345400646,0.04765769464880607,0.5873321934183885
1.475,0.33751045645875316,0.024151040238763497,0.047764835066185014,0.5905736682362982
1.48,0.33432425427605517,0.024031272825944507,0.04783177438800135,0.5938126985099988
1.485,0.33120424023084327,0.023892976387530584,0.04785873084793004,0.597044052533696
1.49,0.3281543979820233,0.023736959838325553,0.047846088607532304,0.6002625535721188
1.495,0.3251784180186591,0.023564088023903487,0.047794392730686266,0.6034631012267511
1.5,0.322279691535661,0.02337527365027374,0.04770434277580715,0.606640692038258
1.505,0.31946130665604344,0.02317146907641484,0.047576785118868266,0.6097904391486734
1.51,0.3167260469132618,0.022953658087098462,0.04741270413709228,0.6129075908625474
1.515,0.31407639188178144,0.022722847757339217,0.04721321239686704,0.6159875479640122
1.52,0.3115145198224017,0.022480060511675747,0.046979539999751296,0.6190258796661712
1.525,0.3090423121911364,0.022226326471667134,0.046713023247280064,0.6220183380899164
1.53,0.30666135984671233,0.021962676173856156,0.04641509278866778,0.6249608711907637
1.535,0.3043729707819374,0.021690133728398633,0.04608726141554972,0.6278496340741142
1.54,0.3021781791981727,0.021409710475971983,0.045731111664793954,0.6306809986610613
1.545,0.30007775573967993,0.021122399187824343,0.04534828338443066,0.633451561688065
1.55,0.2980722187054191,0.02082916884124629,0.04494046140921373,0.6361581510441209
1.555,0.29616184605958273,0.020530959990639912,0.044509363481630176,0.6387978304681472
1.56,0.2943466880683951,0.02022868074297915,0.044056728541710215,0.6413679026469156
1.565,0.29262658039907197,0.019923203336006397,0.043584305495186715,0.6438659107697349
1.57,0.291001157526922,0.019615361308148383,0.04309384255482291,0.6462896386101067
1.575,0.28946986630797583,0.01930594724096524,0.04258707723447838,0.6486371092165806
1.58,0.2880319795868749,0.018995711048028833,0.04206572706009276,0.6509065823050035
1.585,0.286686609722683,0.01868535877847618,0.04153148104658011,0.6530965504522607
1.59,0.28543272192848357,0.01837555189907952,0.04098599197494839,0.6552057341974885
1.595,0.28426914733380804,0.018066907015462992,0.040430869490046394,0.6572330761606826
1.6,0.28319459569187033,0.017759995990998458,0.03986767402640643,0.6591777342907248
1.605,0.28220766766604805,0.01745534642083164,0.03929791155785787,0.6610390743552624
1.61,0.2813068666418984,0.017153442418313288,0.038723029156050276,0.662816661783738
1.615,0.28049061002209735,0.01685472567171929,0.03814441133381782,0.6645102529723654
1.62,0.27975723997195434,0.016559596730416664,0.03756337714147002,0.6661197861561589
1.625,0.2791050335925256,0.01626841648144811,0.0369811779776036,0.6676453719484227
1.63,0.27853221250679416,0.015981507779750236,0.03639899607086042,0.6690872836425951
1.635,0.2780369518519005,0.015699157197780783,0.035817943585146915,0.6704459473651716
1.64,0.27761738867700253,0.01542161686310852,0.035239062298098554,0.6717219321617902
1.645,0.27727162975205494,0.015149106355427003,0.03466332380092265,0.6729159400915953
1.65,0.2769977587976606,0.014881814637412338,0.03409163016707665,0.6740287963978503
1.655,0.2767938431502167,0.014619901996789291,0.033524815037422696,0.6750614398155711
1.66,0.2766579398799149,0.0143635019798447,0.03296364507042743,0.6760149130698128
1.665,0.2765881013818153,0.014112723299388048,0.03240882170753286,0.6768903536112636
1.67,0.27658238046227224,0.013867651702772339,0.031860983205898065,0.6776889846290571
1.675,0.27663883494449903,0.013628351788029066,0.03132070689319651,0.6784121063742752
1.68,0.2767555318180913,0.013394868758422558,0.030788511601951448,0.6790610878215344
1.685,0.2769305509579429,0.013167230107781203,0.03026486024391153,0.6796373586903641
1.69,0.2771619884382376,0.012945447230812753,0.029750162488129773,0.6801424018428196
1.695,0.2774479594671465,0.012729516954258767,0.02924477750964027,0.6805777460689542
1.7,0.27778660096754565,0.012519422986194817,0.0287490167788663,0.680944959267393
1.705,0.27817607382854354,0.01231513728204649,0.02826314686508862,0.681245642024321
1.71,0.27861456485191033,0.012116621326977032,0.027787392230410757,0.6814814215907016
1.715,0.2791002884166668,0.01192382733522287,0.027321937993643432,0.6816539462544666
1.72,0.2796314878841555,0.011736699367721619,0.026866932646366384,0.6817648801017563
1.725,0.2802064367649039,0.0115551743700069,0.02642249070609211,0.6818158981589969
1.73,0.2808234396675276,0.011379183132849609,0.025988695293938668,0.681808681905684
